Gene_Id	CP08174_T1R_T-ENSEMBL	CP09800_T1R_T-ENSEMBL	CP07805_T1R_T-ENSEMBL	CP07552_T1R_T-ENSEMBL	CP06649_T1R_T-ENSEMBL	CP10449_T1R_T-ENSEMBL	CP07152_T1R_T-ENSEMBL
ABCB8	6.72	5.55	1.93	2	2.51	4.43	1.67
ABCB9	4.04	3.19	1.26	1.24	1.49	3.76	1.06
ABCC1	4.69	5.06	4.46	4.65	3.99	5.2	3.95
ABCC10	6.3	4.35	2.37	2.84	2.15	4.7	3.51
ABCC11	3.43	1.14	0.82	0.16	1.94	0.71	0.15
ABCC12	2.83	1.87	0.04	0.16	1.2	0.11	0.01
ABCC2	3.9	2.13	5.94	1.78	0.99	2.88	3.42
ABCC3	7.53	2.68	6.56	2.02	3.7	7.46	3.51
ABCC4	3.26	2.64	1.14	1.83	2.59	4.33	3.09
ABCC5	5.37	5.5	2.66	4.69	4.69	5.16	3.03
ABCC6	4.32	1.74	4.07	0.81	1.15	3.15	2.59
ABCC8	6	5.95	0.83	2.75	2.17	1.17	0.33
ABCC9	2.59	3.51	3.08	4.97	1.46	1.31	2.8
ABCD1	5.72	2.71	2.16	2.12	2.86	3.22	2.83
ABCD2	2.06	0.26	0.24	0.38	0.25	0.29	0.4
ABCD3	4.99	4.66	5.6	6.02	6.13	4.73	4.78
ABCD4	6.42	5.8	4.28	4.22	3.95	4.66	4.12
ABCE1	5.79	4.9	5	6.3	5.55	5.55	4.64
ABCF1	6.43	5.54	4.64	6.98	7.48	5.05	5.4
ABCF2	2.39	2.84	0.68	0.66	1.04	0.96	1.18
ABCF2-H2BE1	4.43	4.48	3.67	3.71	3.96	4.83	3
ABCF3	6.56	5.28	4.38	4.78	4.68	6.53	4.76
ABCG1	4.08	4.95	3.53	3.87	2.93	4.2	2.48
ABCG2	3.08	1.25	1.73	1.08	1.2	1.88	0.86
ABCG4	3.23	1.16	0.04	0.07	0.42	1.03	0.03
ABCG5	2.95	0.71	3.1	0.04	0.5	2	2.44
ABCG8	2.9	0.82	1.74	0.03	0.12	1.14	1.85
ABHD1	3.57	3.25	0.9	1.01	0.99	1.93	0.75
ABHD10	4.48	6.09	3.92	4.96	4.91	5.55	3.28
ABHD11	4.95	6.16	3.56	3.03	5.02	4.96	3.77
ABHD12	4.82	6.51	5.13	5.63	5.63	6.27	5.45
ABHD12B	1.24	0.73	0.14	0.37	0.08	0.28	0.11
ABHD13	1.9	2.92	1.01	2.11	2.18	2.36	1.31
ABHD14A	5.22	5.27	1.49	1.13	1.83	3.7	0.93
ABHD14A-ACY1	3.46	1.12	0.81	0.39	0.77	1.62	0.45
ABHD14B	3.98	2.45	1.92	0.45	1.38	3.96	1.4
ABHD15	2.65	2.61	0.65	0.54	1.05	1.42	0.56
ABHD16A	6.21	5.83	3.38	4.06	5.07	4.96	4.21
ABHD16B	4.44	3.66	0.42	0.14	0.33	2.73	0.37
ABHD17A	7.39	5.21	2.3	2.84	3.21	5.83	2.14
ABHD17B	3.22	3.52	2.66	3.01	3.31	2.59	2.41
ABHD17C	4.19	4.79	4.21	3.17	3.39	4.7	3.91
ABHD18	4.64	4.05	2.99	3.72	3.47	3.66	2.74
ABHD2	6.12	8.48	6.28	6.57	5.85	7.55	5.69
ABHD3	4.8	6.59	3.03	2.8	4.38	4.39	2.4
ABHD4	5.45	4.02	2.73	1.74	2.28	3.85	2.24
ABHD5	3.72	5.14	6.1	5.13	5.02	3.75	3.74
ABHD6	4.14	2.03	2.36	0.6	1.6	2.15	1.21
ABHD8	5	3.74	0.53	0.65	1.12	3	0.46
ABI1	4.01	4.7	3.94	4.62	4.34	5.25	3.64
ABI2	7.07	6.94	3.85	4.94	4.84	6.54	3.46
ABI3	3.49	2.27	1.02	0.97	0.4	4	0.97
ABI3BP	4.27	4.45	3.27	6.92	1.26	3.67	5.19
ABITRAM	4.71	3.52	2.49	1.86	2.85	5.21	1.66
ABL1	5.8	4.61	2.13	3.25	2.92	4.67	2.55
ABL2	5.41	5.1	3.91	3.74	3.69	5.55	3.36
ABLIM1	4.12	6.54	3.63	5.52	1.79	5.76	4.62
ABLIM2	4.51	4.37	0.82	2.56	1.28	3.23	1.97
ABLIM3	4.27	3.42	4.48	1.33	2.6	6.33	2.96
ABO	5.87	0.9	1.7	0.15	0.59	4.25	1.76
ABR	6.99	7.33	4.96	5.14	6.09	7.36	5.11
ABRA	2.79	1.29	0.28	0.06	0.43	0.69	0.01
ABRACL	3.35	3.03	2.4	3.36	5.54	3.85	2.29
ABRAXAS1	4.59	2.36	1.99	2.36	2.55	3.17	1.93
ABRAXAS2	3.29	2.59	2.19	2.51	3.07	2.64	2.36
ABT1	3.26	2.66	0.49	1.08	1.06	2.13	1.03
ABTB1	4.72	3.87	2.02	1.84	2.13	4.62	2.22
ABTB2	2.68	1.85	1.06	0.44	1.94	3.07	0.73
AC000093.1	2.86	2.47	0.41	0.65	1.05	1.62	0.25
AC000120.2	1.66	0	0	0.01	0	0	0
AC000120.3	2.89	4.19	2.24	3.09	4.53	2.75	2.92
AC002094.3	1	1.09	0	0.18	0.42	3.08	0.3
AC002310.4	3.5	1.66	0.96	0.34	1.16	2.28	0.9
AC002456.2	0	0	0	0	0	0	0
AC002985.1	1.03	0	0	0	0	0	0
AC002996.1	4.47	1.12	5.73	1.94	2.6	4.49	4.35
AC003002.1	0	0	0	0	0	0	0
AC003002.2	0.24	0	0	0	0	0	0
AC003002.3	0.25	0	0	0	0.07	0	0
AC003005.1	0.19	0.15	0	0	0	0.07	0
AC003688.1	0	0	0	0	0	0	0
AC004076.1	4.54	2.79	0.93	0.73	0.34	1.22	0
AC004080.3	0	0	0.29	0	0	0	0
AC004223.3	0	1.74	0	0.52	0	0.73	0
AC004233.4	0.15	0	0	0	0	0	0
AC004593.2	0.36	0.06	0	0	0	0	0
AC004687.2	0	0	0.03	0	0.16	0	0
AC004691.2	2.65	2.17	1.08	0	0	5.36	0.88
AC004706.3	0.2	0.1	0.03	0.03	0.11	0	0.01
AC004805.1	2.86	1.12	0.21	0.42	0	0.85	0
AC004824.2	0	0.53	0	0	0	0	0
AC004832.3	0	1.18	2.01	0.28	0.19	0	0.3
AC004922.1	1.34	0.82	0.43	0.4	0.76	1.84	0.32
AC004997.1	0.34	0	0.39	0.38	0.56	0.42	0.29
AC005020.2	1.74	0	0	0.11	0.16	0	0.14
AC005041.1	0.32	0	0.03	0.04	0.03	0	0
AC005154.5	0.66	0	0.9	0.73	2.25	0	0.28
AC005192.1	2.74	3.05	1.88	1.94	0.72	3.16	2.24
AC005258.1	0.61	4.24	0	0	0.08	2.41	0
AC005324.2	0.41	0.11	0.21	0	0	0.23	0
AC005324.3	3.81	3.51	2.05	3.96	3.73	2.77	2.54
AC005488.1	0	0	0	0	0	0	0
AC005520.1	0.39	0.52	0.18	0.53	1.61	0	0.04
AC005551.1	0.46	0	0	0	0	0.32	0
AC005670.2	1.84	3.52	4.1	4.47	5.14	2.34	3.6
AC005697.1	2	0	0	0.04	0	0.77	0
AC005726.1	0.72	0.08	0.08	0.12	0.12	0.11	0.03
AC005832.4	3.53	4.72	0	1.11	0.19	3.87	0.56
AC005833.1	3.42	3.66	1.81	2.25	1.14	3.73	2.29
AC005837.2	1.66	1.99	0.23	1.05	1.23	2.46	0.04
AC005943.1	6.23	5.82	2.43	3.47	4	5.14	2.97
AC006014.1	0	0	0	0	0	0	0
AC006030.1	1.29	1.95	1.07	1.27	0.96	1.08	1.06
AC006059.2	3.37	3.45	3.73	3.48	3.35	1.88	0.56
AC006064.6	0	0	1.82	0	0	0	2.11
AC006254.1	3.7	1.93	2.32	0.29	0.86	2.17	1.46
AC006486.1	6.5	5.68	3.23	3.16	2.41	4.55	4.57
AC006486.3	0	0	0	0	0	0	0
AC006538.2	0	0	0	0	0	0	0
AC006978.2	0.18	0	0	0	0	0	0
AC007192.1	0	0	0	0	0	0.15	0.19
AC007326.4	0.74	0.32	0.45	0.29	0.39	0.18	0
AC007375.2	0	1.47	0	0	0	0	0
AC007731.4	0	1.6	0.59	0	0	1.51	0
AC007846.2	0	0	0	0	0	0	0
AC007906.2	0.42	0	0	0	0.04	0	0
AC007998.2	0	0	0	0	0	0	0
AC008012.1	1.78	1.84	0.99	1.35	1.18	2.06	1.85
AC008073.3	0.37	0	0	0.06	0.01	0	0
AC008132.13	4.89	1.37	0.32	0.04	2.39	0.49	0
AC008162.2	2.99	0	2.38	0	4.5	0	0
AC008394.1	0.93	0	0	0.04	0.03	1.24	0
AC008397.2	0.46	0.11	0.2	0.16	0	0	0
AC008403.1	0	0	0	0	0	0	0
AC008481.3	0	0	0.2	0	0	0	0
AC008537.1	0	0	0	0	0	0	0
AC008575.1	0	0	0	0	0	0	0
AC008581.2	1.54	4.24	4.38	4.56	3.6	2.27	2.7
AC008676.3	0.58	0.19	0	0.04	0.07	0	0
AC008687.1	4.04	0.16	0	0	0.44	1.62	0.08
AC008687.4	1.27	0.3	0	0	0.01	0.99	0
AC008687.8	0	0	0	0	0	0.25	0
AC008695.1	2.11	4.12	2.06	0	2.21	1.93	1.82
AC008750.7	3.13	1.79	0.34	0	0.51	0	0.07
AC008758.1	1.2	0.56	0.3	0.92	0.98	0.41	0.16
AC008758.5	0	1.1	0.25	0.63	1.41	0	0.78
AC008758.6	1.14	1.6	1.69	3.8	5.36	0	1.71
AC008763.2	0	1.43	0	0.16	0.14	4.93	0
AC008763.3	2.84	0	1.55	0.72	0	3.97	0.96
AC008763.4	0.96	0.06	0	0	0.01	0.06	0.06
AC008764.1	0	0	0	0	0	0	0
AC008764.4	3.73	4.25	3.33	4.03	4.68	4.8	2.57
AC008770.1	0	0	0.29	0	0.31	0	0
AC008770.2	3.04	1.87	1.31	1.4	1.92	0	1.48
AC008770.4	2.98	3.34	1.85	1.49	1.99	1.62	0
AC008878.1	0	3.52	3.18	0	0	0	0
AC008878.2	0	0	0	0	0.62	0	0.36
AC008878.3	2.8	2.52	2.86	2.32	2.52	3.92	1.88
AC008982.1	0	0	0	0.2	0	5.33	2.95
AC009065.1	3.81	2.61	0	0	0	4.34	0
AC009070.1	0	0	0	0	0	0	0
AC009133.6	4.75	5.82	0.9	1.76	4.58	2.38	1.21
AC009163.3	3.15	1.37	0.25	0.04	0.16	1.04	0.03
AC009163.5	3.02	3.37	0	0	0.25	2.06	0
AC009412.1	0	0	0	0	0	0	0
AC009690.1	0.63	0.19	0.08	0.37	0.04	0.14	0.06
AC009690.3	1.17	0	0.25	0	0.01	0.73	0
AC009779.3	3.12	2.37	0.57	0.55	0.31	1.82	0.34
AC009879.2	0	0	0.19	0	0.11	0	0
AC009879.3	0	0	0.51	0.25	0.19	2.41	0.25
AC010132.3	3.73	3.74	2.7	2.76	2.79	4.27	2.59
AC010197.2	0.99	0.08	0.44	0.25	0.04	0	0.23
AC010255.2	0.96	0.12	0	0	0.67	0	0
AC010319.2	0	0	0	0	0	0	0
AC010325.1	0	0	0	0	0	0	0
AC010326.2	0	0	0	0	0.03	0	0
AC010327.2	1.63	0.26	0	0	0.04	0.11	0.06
AC010422.3	3.62	2.56	4.32	2.74	1.69	4.2	3
AC010422.5	0	0	0	0	0	0	0
AC010422.6	0	0	0	0.03	0	0	0
AC010422.8	3.4	2.5	0.34	0.7	1.5	0.53	0.31
AC010463.1	0	0	0	0	0	0	0
AC010522.1	2.77	1.21	1.38	1.86	1.52	1.36	1.61
AC010531.1	1.73	0.21	0	0.04	0	0	0
AC010542.3	0	0.46	0.36	0.07	0.33	0.69	0.06
AC010547.4	0	0.6	0.06	0.03	0.06	0	0
AC010615.4	0	0	0	0	0	0	0
AC010616.1	0	0	0	0	0	0	0
AC010619.1	0	0	0.33	0	0	0	0
AC010646.1	0	0	0.03	0	0	0.36	0.06
AC010760.1	0	0	0	0	0	0	0
AC010877.1	0	0	0	0	0	0	0
AC010973.3	0	0	0	0	0	0	0
AC010980.1	0.15	0	0	0	0	0	0
AC011005.1	3.67	2.2	0.2	0.1	1.04	1.9	0.08
AC011308.1	0	0	0	0	0	0	0
AC011330.3	2.49	2.4	0.74	1.29	1.28	0	0.21
AC011448.1	3.1	1.53	0	0.08	0.86	1.41	0.46
AC011452.1	1.04	0	0	0	0	0	0
AC011455.2	0	0.31	1.99	0.54	0	1.12	0
AC011462.1	0	0	0	0	0	3.11	0
AC011473.4	0	0	0	0	0.03	0	0
AC011479.1	0	0	0	0	0	0.55	0.18
AC011498.4	2	0.37	0.66	0.03	0.18	0.24	0.21
AC011511.1	0.49	0.52	0.41	0.01	0.14	0	0.04
AC011511.4	4.02	3.15	1.78	2.78	2.17	2.06	0
AC011530.1	4.56	3.29	0	0	0	0	0
AC012184.2	1.78	2.97	1.61	1.22	1.52	2.41	0.96
AC012213.5	0	0	0	0	0	0	0
AC012254.2	5.8	6.28	4.79	6.03	6.57	4.48	3.77
AC012309.1	0	2.31	0	0	0.19	1.28	0
AC012488.2	0	0	0	0	0	0	0.08
AC012531.3	0	1.69	0.03	0.15	0.89	0	0.1
AC012651.1	2.25	1.74	1.96	2.22	1.41	1.58	2.16
AC013271.1	0.16	0	0.06	0.16	0.04	0	0.12
AC013394.1	1.66	2.16	1.11	2.74	2.31	1.05	1.11
AC013470.2	0.07	0	0	0.04	0.15	0	0
AC013717.1	0.29	0	0	0	0	0.46	0
AC015688.4	0.76	0	0.37	0.19	0.08	0	0
AC015802.6	0.67	0.82	0.14	0.16	0.28	0.11	0.04
AC015813.2	0.29	0	0.08	0.25	0	0	0
AC016745.1	4.92	3.55	2.9	4.22	4.78	2.47	3.16
AC018362.3	0.25	0.18	0.1	0.19	0.48	0	0.26
AC018512.1	0	1.01	0	0.07	0.16	0.49	0
AC018523.2	0.82	0	0.12	0.63	0.63	0	0
AC018630.4	2.9	1.12	0.45	1.18	0.82	1.83	0.54
AC018709.1	1.11	0.19	0	0.11	0	0	0
AC018755.2	3.24	0.19	1.17	0	0	0.96	0
AC018809.3	0.75	0	0.73	0	0.6	2.3	0.3
AC019117.3	2.75	2.81	4.89	3.36	1.6	5.1	3.79
AC019257.8	3.24	3.08	1.72	2.94	2.75	2.38	1.57
AC020636.2	1.93	0	0	0	0	0	0
AC020765.6	1.32	2.1	0.07	0	0.38	0.7	0
AC020907.6	0	0.18	0.07	0.12	0.9	0.04	0
AC020909.1	1.69	0.43	0	0	0	0	0
AC020915.4	4.21	4.99	2.48	3.43	2.31	3.7	2.31
AC020922.1	3.74	3.6	0.5	1.52	1	1.42	0.43
AC021072.1	0.14	0	0	0	0	0	0
AC021087.5	2.43	0.31	0.58	0.21	0.81	0.23	0.3
AC021660.3	0.42	0	0	0	0	2.32	0
AC022335.1	0	0	1.15	0	0	0.33	0.9
AC022384.1	4.46	5.17	2.97	3.28	4.08	4.77	3.85
AC022400.5	2.17	1.44	0.67	0.43	0.76	3.53	0.39
AC022414.1	0	1.17	0	1.4	0	0.58	0.29
AC022415.2	2.8	1.72	1.08	1.04	4.36	0.9	1
AC022506.1	0	0	0	0	0	0	0
AC022826.2	2.41	3.34	2.76	3.03	2.61	4.05	2.11
AC023055.1	3.42	3.9	1.11	1.68	2.35	4.17	1.5
AC024580.1	3.98	3.08	5.69	5.22	4	1.07	5.01
AC024592.3	3.86	1.38	1.29	2.52	3.8	0.92	2.93
AC024598.1	0.08	0	0	0.01	0.03	0	0
AC025165.3	2.93	0.5	0.82	0.5	0.21	0.6	0.07
AC025165.6	0.48	0.51	0	0.04	0	0	0.04
AC025263.2	0	0	0	0	0	0	0
AC025283.2	0	0	0	0	0	0	0
AC025287.4	0.08	0	0	0	0	0	0
AC026316.4	0	0	0	0	0	0	0
AC026464.1	0	0	0	0	0	0	0
AC026464.3	0	0	0	0	0	0	0
AC026464.4	4.55	4.21	3.37	3.46	4.35	5.56	3.01
AC026464.6	3.97	4.85	2.85	2.7	0.68	4.34	1.4
AC026786.1	0	0	0	0	0	0	0
AC026954.2	0.1	0	0	0	0	0	0
AC027644.4	0.52	0	0.04	0.16	0.04	0.19	0.08
AC027796.3	2.9	1.71	0	0.07	0.11	0.86	0.08
AC034102.2	0	5.18	4.34	5.79	4.79	0	4.88
AC034228.3	0.85	0	0	0	0.1	0	0
AC036214.3	0	1.08	0.3	0.69	0.54	0	0.19
AC037459.1	3.33	0	0.45	0	0.25	1.65	0
AC040162.1	1.71	1.19	0.26	0.31	0.6	0.82	0.3
AC046185.1	0	0	0	0	0	0	0
AC048338.1	2.52	0	0	0	0	1.49	0.25
AC048338.2	2.7	2.17	0	0.46	0.32	0.48	0
AC053503.6	2.23	0.23	0	0	0	0.57	0.04
AC055811.2	0	0	0	0	0.1	1.21	0
AC055839.2	3.95	2.89	0.61	1.18	0.41	2.84	0.43
AC058822.1	0	0.7	2.56	2.36	0.06	1.26	1.84
AC063943.2	4.51	5.02	0	0	0	4.59	0
AC067968.1	2.43	0.8	1.61	1.72	1.26	1.81	0.4
AC068234.1	0.81	1.61	2.03	0.3	0	5.25	1.1
AC068533.4	3.31	2.92	2.95	3.41	2.31	3.89	2.5
AC068547.1	0	0	0	0	0.29	0	0
AC068580.4	2.92	2.78	5.37	1.39	0.76	4.36	1.38
AC068631.2	0	0	4.9	6.39	5.85	4.66	5.01
AC068775.1	2.24	0	0.01	1.18	0.73	2.17	0.83
AC068831.6	1.68	2.02	0.63	1.64	1.03	0.99	1.5
AC068870.4	0	0	0	0	0	0	0
AC068896.1	1.14	0.7	0.21	0.29	0.33	0.73	0.44
AC068946.1	0.55	0.23	0.1	0.02	0.09	0.92	0.04
AC068946.2	0.87	0.38	0.15	0.11	0.1	0.06	0.07
AC069257.3	3.66	0	0	0.71	0.48	0	0
AC069288.1	0.58	0.59	0.18	0.26	0.34	0.18	0.16
AC069368.1	3.66	2.98	3.05	4.04	2.56	4.25	3.43
AC069444.2	1.66	2.48	0.59	1.91	2.99	0.48	0
AC069503.2	1.52	0.81	0.45	0.42	0.52	0.56	0.26
AC069544.2	4.01	4.26	1.41	2.57	2.17	4.04	1.43
AC072022.2	0.41	0.39	0.1	0.08	0.07	0	0.03
AC073082.1	0.53	0	0	0.03	0.01	0	0
AC073111.3	1.26	0.78	0	0.01	0.01	0.12	0
AC073283.3	0	0	0	0	0.4	0	0
AC073508.2	1.75	0.3	0.23	0.06	0.24	0	0.03
AC073585.1	0.77	0.12	0	0.12	0.06	0	0.03
AC073610.2	5.63	4.47	2.25	2.63	3.89	5.14	2.21
AC073612.1	1.37	0	0	0	0	0	0
AC073896.1	0	3.62	0	1.01	1.2	3.47	0
AC074143.1	4.14	3.65	0.23	0	0.44	1.64	0.1
AC078815.1	0	0	0	0	0	0	0.03
AC078927.1	0	0	0	0	0	4.35	0
AC079447.1	2.21	1.23	0	0.26	0.26	0.82	0.14
AC079594.1	1.61	1.34	0.98	1.89	1.87	3.14	0.9
AC079741.2	0	0	0	0	0	0	0
AC083800.1	2.63	0.83	0	1.81	2	0	1.87
AC083977.1	1.69	0	0	0	1.03	0	0
AC084337.2	3.96	2.96	1.59	0.19	0.95	3.56	1.13
AC084756.2	0.56	0	0	0	0	2.3	0
AC087289.3	0.46	0.86	0.06	0.04	0.2	0.48	0.04
AC087632.2	4.8	5.52	3.08	4.91	3.99	2.33	2.59
AC087721.2	1.14	1.09	0	0	0.07	0.7	0
AC090004.1	0	1.07	0.63	0	0	3.27	0.31
AC090186.1	2.41	3.08	2.17	2.2	3.18	3.02	1.54
AC090227.2	0	1.01	2.03	0.59	0	0	0
AC090360.1	0.14	0	0	0	0	0	0
AC090517.4	0.34	0.12	0.19	0.23	0.19	0.18	0.04
AC090527.2	0	0	0	0	0	0	0
AC091057.5	4.23	5.09	3.58	5.52	4.81	3.13	2.32
AC091167.2	0.97	0.96	0	0.11	0.12	0.4	0.04
AC091167.6	0	1.06	0.12	0.74	0.66	0	0
AC091167.7	1.4	0.84	0	0.16	0.12	0	0.01
AC091551.1	0.51	0.55	0.21	0.28	0.77	0.49	0.25
AC091959.1	3.76	4.89	2.75	4.09	4.82	4.58	2.65
AC092017.2	0	0	0	0	0	0	0
AC092042.3	1.5	0.25	0.2	0	0.32	0.18	0.4
AC092073.1	0	0	0	0	0	0	0
AC092111.3	0	0	0	0	0	0	0
AC092143.1	5.78	3.39	1.06	1.21	2.12	3.39	0.63
AC092291.2	0	0	0	0	0	0	0
AC092329.3	0.29	0	0.08	0.12	0.1	0	0
AC092442.1	0	0	0	0	0	0	0
AC092587.1	2.49	1.16	0.98	0.92	0.55	1.55	0.14
AC092647.5	0.16	0.63	0.18	0.3	0.49	0	0
AC092718.3	0.57	0.16	0.86	0.38	0.93	1.26	0.3
AC092718.8	1.03	0.65	0.25	0.34	0.15	0.32	0.18
AC092835.1	0.51	0.4	0.11	0.41	0.16	0.15	0.14
AC093155.3	2.6	1.8	1.2	2.05	1.66	1.94	1.16
AC093227.2	0	1.04	0	1.01	1.71	0.91	0
AC093246.1	0	0	0	0	0	0	0
AC093323.1	1.84	0.21	0.11	0.17	0.14	0.58	0.01
AC093423.3	0	0	0	0	0	0	0
AC093512.2	0.63	1.63	0.1	0.25	0.21	0.5	0.11
AC093525.1	0	0.33	0	0	0	0	0
AC093525.2	2.59	0.43	0	0	0	0	0.06
AC093668.1	0	3.15	1.54	2.97	0.89	0	1.06
AC093827.5	0.46	0.55	0.16	0.26	0.23	0	0
AC093884.1	1.63	2.51	3.32	2.65	3.26	4.06	2.81
AC093899.2	0	1.42	0.59	2.89	2.95	0.18	1.17
AC097104.1	0	0	0.04	0.01	0.08	0	0
AC097625.1	1.08	0.18	0	0.06	0.4	0.11	0.06
AC097634.4	0.28	1.23	0.2	0.14	0	1.34	0
AC097636.1	0.06	0	0	0	0.01	0	0
AC097637.1	2.93	0	0	0	0.2	1.2	0.25
AC098484.3	3.55	1.8	0.8	1.13	1.3	2.77	1.24
AC098582.1	0.92	1.91	1.39	0.7	1.96	1.61	0.75
AC098588.2	1.21	0.33	0.08	0.78	0.31	0.34	0.15
AC098850.3	1.74	0.55	0	1.45	3.27	1.41	0.64
AC099489.1	2.87	0.37	0.66	0.07	0.24	1.38	0.44
AC099569.1	0	0	0	0	0	0	0
AC099811.2	0	0	0.67	0	0	5.46	0
AC099850.2	2.34	2.09	1.99	2.71	2.49	2.34	0.88
AC100868.1	0.53	0	0.1	0	0	0.03	0
AC104057.1	4.86	0.22	0.08	0.04	0.82	0.97	0.19
AC104109.3	1.15	0.44	0.16	0	0.4	0.93	0.18
AC104304.2	0	0	0	0	0	0	0
AC104389.5	1.97	0.56	0.48	0.58	0.26	0	0.03
AC104389.6	1.73	0	1.93	0.93	0.32	0	0
AC104452.1	2.21	0.93	0.44	0.42	0.36	0.66	0.36
AC104472.3	1.29	0.58	0.16	1.21	0.62	0.78	0.37
AC104532.1	2.8	0	0.97	0	0	4.31	0
AC104581.2	0	0	0	0	0	0	0
AC105001.2	1.82	1.38	0.9	0	0.18	1.96	0.21
AC105052.3	0	2.37	0	3.17	3.02	4.14	4.83
AC106017.1	3.63	0.61	0.27	0.4	0.44	0.32	0.03
AC106741.1	0	0	0	0	0	0	0
AC106873.8	0	0	0	0	0	0	0
AC106886.5	4.26	4.85	2.11	3.83	3.76	2.66	3.03
AC107959.5	0	0	0	0	0	0	0
AC108488.2	2.14	2.89	2.49	2.77	1.85	2.55	1.49
AC108941.3	1.78	0	2.25	0	0.59	0.56	0.38
AC109583.1	0	0	0	0	0	0	0
AC110275.1	0	0	1.18	0	2.34	0	0.65
AC110771.1	0	0	0	0	0	0.21	0
AC112128.1	1.83	3.25	1.97	2.21	3.18	2.05	1.31
AC112229.3	0.08	0	0.06	0.29	0	0	0.08
AC112504.2	1.52	0.82	0.39	0.37	0.41	0.74	0.24
AC113189.12	0	0	0	0	0	0	0
AC113348.1	0.25	0	0	0	0	0	0
AC113348.2	0	0	0	0	0.04	0	0
AC113554.1	0.18	0.04	0	0.01	0	0	0.01
AC114402.2	0	0	0	0	0	0	0
AC114490.2	1.97	0.95	1.86	1.92	1.28	2.17	0.59
AC114490.3	0.19	0	0	0.04	0	0.14	0
AC114494.1	2.17	0.45	1.32	0.34	0.92	0.95	0.21
AC114982.2	0	0	0	0	0	0	0
AC116366.2	2.52	2.78	0.25	3.79	3.18	2.45	0.75
AC117378.1	0.75	1.33	0.67	0	0.32	2.45	1.26
