Gene	Sample_14_SS_18_2698	Sample_12_SS_18_4268	Sample_26_SB_20_5744	X27_sb_19_5484	sb_19_6002	Sample_35_SB_18_6513	CL0191_T1R_T	Sample_2_WS_18_051587	Sample_41_CN20_33_A1_B1	Sample_39_S18_11654	Sample_28_SB_20_399	Sample_48_ASP19_05374	Sample_49_NC_20_182_A1	X16_sb_19_5365	Sample_45_RA_023_11	Sample_39_SF_20_216_A1	Sample_47_WS_20_4104	Sample_41_RS_20_1704	Sample_25_SB_20_5907	Sample_23_SB_20_788	Sample_34_SB_18_7364	Sample_10_SS_18_5516	Sample_11_SS_18_5261	Sample_1_WS20_3053
ABCA8	1.41772	0.675442	2.32039	10.8786	3.44813	2.10038	0.791837	1.43628	3.195	0.359936	0.366924	0.817874	0.171048	11.5477	0.235747	1.68571	0.326915	0.121096	0.00571691	3.6754	0.111819	0.415909	1.25569	0.0303457
ABCA9	1.33973	0.931436	4.06641	9.71181	0.69403	1.71849	1.0876	1.11855	4.53589	0.713303	0.69854	1.25345	0.419163	10.7541	0.780098	2.08435	1.87244	0.0903546	0.0636177	3.19107	0.327938	0.531282	2.05028	0.0661711
ABCB1	0.425634	0.37678	0.468524	3.9438	0.131255	3.82891	0.262312	0.393893	6.73638	0.165381	0.43581	0.965133	0.348715	5.82587	0.198097	1.21813	0.43913	0.0660078	0.0426151	0.647171	0.0316722	0.13466	0.28455	0.0399691
ABCB10	6.99646	6.19677	4.16827	10.6713	3.45116	4.15779	4.82215	5.64582	4.27362	3.25713	4.05091	3.29887	2.43219	13.9126	2.53086	4.94855	4.50682	4.66773	4.19858	3.95502	7.22398	4.02979	3.22392	3.82001
ABCB11	2.68464	0.0219345	0.0112184	6.66132	0.015956	0.00925018	0.0487377	0.0147021	1.71932	0.0167665	0.0432712	0.28122	0.0807849	8.14237	0.0852639	2.79249	0.0963307	0.00459162	0.0602612	0.0878988	0.00510632	0.288411	0.289326	0.00626452
ABCB4	10.6012	0.799652	0.882856	8.73161	0.273843	1.15901	0.383892	0.302644	9.55169	0.352342	0.403287	5.28598	1.51316	12.0662	0.315438	18.8275	0.876523	0.102707	0.0854262	0.814191	0.228439	1.62017	0.241392	0.0716801
ABCB5	0.0053141	0.0330758	0.0350983	3.58214	0.0713937	0.00901578	0.00440401	0.0665389	2.09207	0.00879615	0.0132886	0.0140661	0.00391253	5.39266	0.0015058	0.168164	0.137864	0.00739965	0.0025099	0.0174055	0.00889173	0.00462445	0.0238216	0.00472003
ABCB6	13.4374	10.4181	12.3039	82.3624	7.14526	44.704	21.9825	19.1464	21.1964	22.7737	15.5975	9.20498	14.4796	69.6854	14.914	22.6798	22.8517	27.8647	52.679	20.4865	16.292	23.104	18.0025	20.031
ABCB7	4.65987	6.75842	2.66722	2.13745	5.45532	3.287	4.87935	4.70468	3.83301	3.20475	3.86021	4.71299	2.89472	2.26494	3.39566	5.15152	5.71672	2.15782	1.82019	2.49657	4.04715	2.12126	1.59198	1.67453
ABCB8	8.18275	6.08835	5.01518	29.5503	2.06584	4.85418	9.77672	6.41224	9.0682	7.06613	3.78953	2.07491	3.48152	32.83	4.61729	3.82066	3.42221	4.83001	4.47029	3.29723	7.46088	4.82731	4.94323	2.34965
ABCB9	1.56906	2.18083	1.1999	16.6204	0.792904	1.21341	1.44147	1.84204	2.05566	1.01491	1.41999	2.26263	1.17427	14.7503	0.387878	2.24218	1.20439	1.35999	1.11565	1.17475	2.63781	2.36156	1.86806	1.30772
ABCC1	3.70004	5.03028	2.46102	7.52307	2.68581	2.50238	5.20579	3.66116	2.19071	3.04816	4.21754	2.28831	2.05432	6.92704	1.0879	1.33906	1.74944	4.2481	1.63398	3.96635	3.182	2.5946	5.83025	2.24213
ABCC10	10.7803	11.6674	12.3726	35.9422	6.43223	14.3044	16.1734	11.2455	8.62097	5.48098	10.8279	3.5759	7.2394	38.0009	3.07285	5.58804	5.32445	6.04412	8.65089	6.74554	9.67485	6.03135	12.2553	4.95473
ABCC11	0.0938262	0.103793	0.165391	11.549	0.0410567	0.168561	0.133581	0.0706422	3.92006	0.0874908	0.129622	0.0237844	0.0589871	11.9896	0.0666986	0.611787	0.355847	0.0825232	0.0304162	0.219018	0.120078	0.125258	0.0760914	0.0523489
ABCC12	0.00299684	0.00778712	0.0126032	11.7751	0.0141045	0.0109356	0.0154964	0.0023137	4.42029	0.00497558	0.00720354	0.0464507	0.000990644	13.5223	0.00436255	0.346959	5.95896	0.0034065	0.00911944	0.00435672	0.00984972	0.00945727	0.0126033	0.00958571
ABCC2	8.31143	0.647563	0.620173	10.0197	1.05416	10.9145	0.52691	0.792152	12.3852	0.287781	0.531426	0.951817	0.466454	11.3787	0.580749	9.73801	1.08362	0.9014	0.966496	1.02237	0.785621	2.4275	0.517172	0.570004
ABCC3	3.61742	1.57686	2.12941	21.439	0.183094	4.53545	1.36547	1.12578	8.29162	1.42488	1.79377	2.54992	0.457963	18.1517	0.445178	3.56036	0.941084	1.00034	0.230101	5.08173	0.598937	5.3851	3.9523	0.396483
ABCC4	0.127203	1.07833	0.606126	2.53804	0.507082	0.89546	0.210202	0.512422	1.35183	0.674643	0.813508	1.43177	0.174343	2.56351	0.152827	0.30391	0.291591	1.14004	0.155482	1.62645	0.0856847	0.185101	0.531354	0.175249
ABCC5	11.6047	27.2565	6.93462	11.4263	7.05057	6.30789	8.4868	8.5528	8.74949	6.7308	15.1455	5.4073	3.85082	8.78882	4.1822	6.83145	8.77603	3.02375	3.46871	9.15037	11.822	3.09639	9.36235	11.6111
ABCC6	2.63234	0.439341	0.245666	14.6328	0.323092	1.68452	0.321477	0.435006	11.8525	0.39912	0.214686	0.0936592	0.447689	12.8849	0.0997627	3.07995	0.658056	0.217242	0.0712228	0.179364	0.213678	1.44701	5.30173	0.21504
ABCC8	30.9566	1.95357	1.93394	23.6543	3.33154	1.62379	13.4254	4.60066	14.5588	4.23532	4.25112	4.0378	0.232702	23.1021	22.7497	3.82176	4.32635	0.0670526	0.538538	0.454115	3.83902	1.3857	2.86776	3.80031
ABCC9	1.34741	1.26179	3.69568	5.54448	1.18562	3.0587	1.40298	0.99642	2.98793	0.781567	0.612767	0.750518	0.00992459	6.21004	1.68053	1.29174	1.92606	0.170745	0.398053	1.44786	0.416234	0.453941	0.718823	0.167238
ABCD1	7.1481	4.66693	5.74929	18.0342	1.82914	5.51339	6.11739	4.66735	6.95723	4.7132	7.08758	1.90624	9.29038	16.7869	1.85614	2.30321	3.30342	15.9467	4.84846	6.79014	6.44276	8.44494	9.25188	8.32194
ABCD2	0.0536017	0.115268	0.170664	4.39262	0.0395826	0.0392828	0.32111	0.0720307	1.70421	0.129457	0.203613	0.791204	0.366904	5.22338	0.0846929	0.418529	0.10164	0.0459516	0.0314603	0.716257	0.00238148	0.0445886	0.141675	0.0161299
ABCD3	13.5741	9.50041	8.06521	3.93218	4.8023	8.98983	10.184	15.582	7.04378	5.77715	4.20175	13.2503	11.3784	4.82077	7.25079	16.0776	14.9909	11.5595	5.58794	7.73966	6.81179	10.2246	8.99417	5.02758
ABCD4	15.1884	13.3229	14.7883	37.2585	26.7296	21.433	23.1945	17.7279	9.521	10.3139	9.69265	5.57677	14.7401	33.9586	8.5636	13.4761	12.8086	11.2173	15.6198	11.853	23.7901	22.9861	23.2691	14.7434
ABCE1	5.06396	10.6625	8.59389	10.7598	6.07371	9.37446	10.2731	7.29073	3.07846	8.43347	6.46294	22.4426	5.80154	11.5516	4.95742	15.1204	13.4648	11.5808	8.97115	9.84481	3.9532	4.38466	2.98668	3.19616
ABCF1	42.0089	58.3838	29.4082	21.0992	19.9463	46.0736	45.6105	62.3908	24.5892	23.5488	24.8966	65.2892	44.5865	25.5206	35.7939	118.008	120.384	68.8796	61.0961	23.1393	46.1929	102.533	49.3856	39.9464
ABCF2	8.68643	21.5557	9.93	25.9637	6.67077	11.3331	16.5889	16.5025	12.9981	13.3039	9.89653	12.1315	14.9704	29.0296	10.6001	12.6829	12.1047	21.4619	17.4863	12.8362	12.0084	9.79404	9.56011	6.04466
ABCF3	58.993	111.971	33.7054	97.908	27.2904	28.1309	48.0107	50.1339	73.6986	37.6903	69.1631	34.3061	48.9829	67.1825	20.5093	29.2431	51.144	55.0352	22.4412	44.4849	81.0431	39.9193	54.9078	58.5158
ABCG1	3.05653	1.33358	2.98523	8.96764	4.52796	0.560221	3.8273	3.51629	31.2232	0.784221	2.42037	1.84703	3.17137	8.6332	2.23159	1.1496	6.09994	1.15385	0.420188	3.80448	2.39236	1.53751	2.37945	1.60774
ABCG2	0.182014	0.15189	0.282731	3.01788	0.169554	0.198664	0.233309	0.147712	1.35233	0.0562548	0.107935	0.162492	0.0183396	3.50946	0.0778725	0.371829	0.318303	0.0307601	0.0256853	0.21908	0.0608146	0.114884	0.0923225	0.0956672
ABCG4	0.147858	0.13578	0.249563	39.8383	0.283208	0.229439	0.0829754	0.201759	8.39229	0.237555	0.135	0.117539	0.0251959	27.9401	0.0096185	1.58756	0.293915	0.0387602	0.0250105	0.0709767	0.0243417	0.132927	0.0899788	0.115096
ABCG5	4.91705	0.543197	0.36196	14.1781	0.302517	1.05123	0.43522	0.729052	7.81827	0.192781	0.711194	0.260904	0.0342704	13.3818	0.235787	5.6663	0.935542	0.332911	0.35826	0.138787	0.647933	2.11567	0.201286	0.0450184
ABCG8	5.21854	0.320847	0.0206667	12.8227	0.034464	0.676797	0.0318386	0.146685	8.25842	0.0483025	0.0448834	0.0329801	0.0673196	12.3155	0.0574173	2.26402	0.332641	0.23897	0.0316695	0.00805612	0.120488	1.58336	0.0835097	0.0451187
ABHD1	7.96726	10.0542	2.99723	53.2518	2.23686	4.75324	2.17857	5.21099	20.6359	2.89332	4.04205	2.92895	2.17119	46.7599	1.12887	6.58157	4.60064	8.66162	5.59773	3.03561	5.24767	4.66756	3.3941	3.07216
ABHD10	5.52725	11.6933	3.89418	16.6188	3.52984	2.98524	12.1093	6.09902	4.72189	3.58492	5.76647	9.86324	3.41043	13.9197	2.81555	6.0617	5.36546	1.92314	2.35661	4.98467	5.73729	2.65902	3.9404	4.28383
ABHD11	30.8722	19.9322	35.4603	94.6376	12.4818	17.1954	33.7629	31.1937	31.8516	14.2592	44.3495	7.17379	29.875	109.755	14.5555	28.8696	27.3198	25.7386	22.7661	26.2813	34.3361	60.4422	31.5211	32.202
ABHD12	7.87359	10.2342	5.85603	6.55566	3.97199	5.3764	9.85493	8.99813	6.62507	4.0565	9.23982	4.55125	5.40289	6.58632	5.08921	5.84442	6.92888	4.9438	4.70312	8.14773	5.69257	5.60331	5.00648	7.2909
ABHD12B	0.533264	0.272934	0.348345	10.1801	0.302788	0.289415	0.279826	0.20015	3.87507	0.0793849	0.113653	0.270528	0.163202	10.8327	0.0182818	1.60019	0.782822	0.162577	0.0183216	0.199143	0.14675	0.113167	1.91614	0.102175
ABHD13	2.98405	3.68554	4.61467	10.072	4.21791	7.88462	5.77489	6.37468	1.651	2.39024	4.60813	6.70519	1.17361	8.56694	1.95869	2.85706	3.97314	1.38407	17.8191	2.89617	1.94859	1.53737	1.87362	2.85857
ABHD14A	1.91973	1.30421	1.8376	25.6599	1.45315	1.14085	2.72373	1.64269	8.48852	1.20851	2.11246	1.07807	1.12349	17.1644	3.42528	1.0996	1.11087	1.8171	0.821174	2.10808	0.94563	1.19565	1.42071	2.97627
ABHD14B	2.09672	1.56129	2.50876	24.4526	1.63975	1.73853	3.23294	1.77108	6.89453	1.25011	2.50888	1.31156	1.59659	16.7978	3.0055	1.26615	1.49337	3.21163	1.35758	2.97791	1.05118	1.76374	1.93855	2.86658
ABHD15	3.35926	1.07325	2.28228	30.2543	1.85903	4.68461	2.28989	1.71801	4.63373	4.02543	3.84074	1.54874	3.27723	26.6172	1.37936	1.50931	1.54495	4.32274	0.751847	4.9897	3.47637	8.433	5.05751	3.42529
ABHD16A	11.4058	20.2906	13.4751	35.7674	20.3696	13.2228	33.6363	13.2062	13.351	7.82701	12.3605	5.89293	9.96433	37.8903	11.0146	9.61011	13.1977	8.44723	7.58883	9.91321	11.132	16.4545	12.3721	21.8497
ABHD16B	7.1162	7.56418	4.26372	151.092	1.88019	7.1896	3.68387	6.01865	1.05293	6.08926	4.88912	3.64411	3.93951	131.488	1.21745	0.990256	2.44563	4.05509	5.26058	4.11309	8.1405	6.62554	6.87862	4.51924
ABHD17A	7.97021	6.32443	25.592	21.4586	10.7127	15.0326	10.8193	12.7406	0.925196	10.9738	17.8862	3.81591	10.0805	18.8883	6.31558	2.71275	3.45968	11.6293	11.9484	28.1645	12.1356	10.6005	10.3317	8.47219
ABHD17B	1.18917	2.26117	0.936223	3.40581	1.29255	1.81096	0.979785	1.90292	1.60019	1.58933	1.01506	1.61505	0.754897	2.90577	0.834404	1.9021	0.933104	0.599879	1.16694	1.25268	0.976069	0.914343	0.989836	0.444233
ABHD17C	0.409345	0.822617	0.480355	3.06239	0.185097	0.440732	0.21476	0.439712	0.476382	0.54721	1.03019	0.408922	0.227271	3.18344	0.412235	0.14849	0.194736	0.332182	0.33762	0.36237	0.419069	0.44083	0.648343	0.251193
ABHD2	4.66643	5.47953	2.61167	3.487	2.59934	2.06937	5.12202	2.50007	1.92456	1.11921	5.53558	2.38469	7.29754	4.20614	3.48597	1.71832	2.60457	1.34808	3.14519	2.35322	3.30185	7.23645	4.56963	5.96959
ABHD3	2.18784	5.55304	1.5856	5.19028	1.28251	0.67254	3.81064	3.3733	2.54483	1.13263	1.87745	3.24341	1.27989	5.61527	5.47376	4.35808	4.89121	0.392051	0.616028	1.19686	1.37261	1.38503	0.88446	1.28429
ABHD4	2.15769	3.82567	3.16463	18.8504	4.83188	3.419	2.83804	3.12697	4.16506	0.86945	1.58536	1.16892	2.13044	18.1611	3.00968	2.91525	1.84859	0.925081	2.03159	4.08326	1.69962	1.21254	2.3163	1.68283
ABHD5	12.5658	8.71005	8.93878	4.08516	1.99029	6.46354	2.1313	19.7715	9.37841	4.73616	8.30567	7.88499	9.63208	3.6918	4.96718	12.9791	8.76606	12.0743	12.4688	6.68801	9.3148	7.80294	6.28528	7.84791
ABHD6	0.798095	0.393527	0.296129	5.23129	0.721517	0.490005	0.391948	0.54148	1.37812	0.312304	0.326332	0.421468	0.268929	4.60002	0.121449	0.404342	0.36057	0.337563	0.0555649	0.577173	0.0798956	0.300761	0.541885	0.849994
ABHD8	2.64346	1.88013	3.16108	26.277	1.37175	2.40534	3.60057	3.17366	2.66999	2.2298	2.77538	0.706896	3.14333	22.5851	1.32104	1.87956	1.2991	3.53024	3.63513	2.77971	3.36238	6.11099	2.89293	1.61368
ABI1	2.30375	3.36516	3.5784	2.77257	2.22679	2.91472	5.49174	4.20331	2.4007	0.955742	2.50408	4.99703	3.47814	3.12045	3.62132	4.10215	2.96818	2.38845	0.946783	3.49279	1.21039	1.03375	2.7474	2.11134
ABI2	4.18771	3.76389	3.49582	6.69579	2.2138	4.36054	3.18504	5.8276	3.89424	2.22164	3.0186	2.74796	1.24041	6.91677	4.42899	6.16195	6.07567	1.59573	2.12729	2.05747	3.34371	2.25108	2.24271	2.95958
ABI3	0.718119	1.18485	3.31126	16.9406	0.297217	0.641476	1.53518	1.06612	5.13242	1.00188	2.07852	1.92959	4.05958	15.5051	0.481642	1.01655	0.430613	0.831495	0.489956	3.2436	0.617355	1.59431	2.72371	0.523965
ABI3BP	0.359807	0.868384	2.89646	5.31865	2.09892	0.629376	1.51682	1.50133	6.32202	0.484625	1.70535	2.64514	0.13896	4.81099	0.370207	0.420353	3.67177	0.106158	0.138896	4.58375	0.367365	0.149715	0.575559	0.877345
ABL1	4.16075	5.40142	2.84203	4.39175	2.49645	1.82347	4.35047	5.54822	2.67359	3.13053	1.62277	1.2502	1.75263	4.44383	1.4919	2.09156	3.11149	4.04397	2.05352	1.94351	5.28505	6.80076	3.72794	1.7995
ABL2	3.3955	4.40535	3.42451	6.62387	1.96908	2.7812	1.92514	3.90722	4.86486	2.50647	2.90268	1.8935	1.01501	8.21772	3.02923	2.49562	2.59816	2.61223	1.23838	1.79102	3.22411	1.33942	1.76365	2.04567
ABLIM1	1.08041	1.67128	2.34529	2.92181	0.929847	1.17644	1.11807	1.30984	1.68665	0.656226	1.2271	1.6346	1.45699	3.58875	1.407	3.85228	1.10634	2.60736	0.252581	1.45649	0.987261	0.832033	1.71776	1.86591
ABLIM2	0.721685	0.109959	0.882494	4.62131	0.229873	0.70571	0.70775	1.49312	0.955754	0.368724	1.34053	0.152618	0.181633	4.65505	1.63281	0.877158	2.29775	0.128419	0.0963807	0.0850221	1.34985	1.34309	0.915355	0.509832
